,content,label_num,clean_teks
0,baik,2,baik
1,Kurang lengkap masalah info loker,0,kurang lengkap informasi loker
2,memuaskan,2,muas
3,sangat mudah untuk mengirim email/ cv,2,mudah kirim email cv
4,"Semoga cepet² dapet pekerjaan,, aminnnn",1,moga cepet dapet kerja aminnnn
5,mantap,2,mantap
6,jujurly saya ga ngerti cara pakainya. Dari tampilan interface yg membingungkan dan fitur search and filter yg sama sekali ga membantu. Dan btw kalo temen temen detail disini banyak sekali PT penipuannya. xixi,0,jujur tidak erti pakai tampil interface bingung fitur search and filter tidak bantu ngomong ngomong temen temen detail loker tipu haha
7,Semoga ada rezeki disini,1,moga rezeki
8,Mantap,2,mantap
9,bagus,2,bagus
10,Bagus,2,bagus
11,banyak loker penipu,0,loker tipu
12,belum jelas karena belum dapat panggilan krja,0,panggil kerja
13,Lumayan bagus...jika data diri dan skill kita meyakinkan Perusahaan yang kita lamar pasti akan di respon oleh HRD,2,lumayan bagusjika data skill usaha lamar respon hrd
14,ok,2,ok
15,sangat membantu,2,bantu
16,semoga semakin mudah & banyak lowongannya yah Glints👍,2,moga mudah lowong yah glints
17,Aplikasi nya bagus kak,2,aplikasi nya bagus kak
18,dapat mobil gajian,2,mobil gaji
19,Ngga spt 2023 sekarang mulai tdk responsif. Pemuat iklan lowongan cuma membandingkan kapasitas pelamar bukan merecrut pelamar sesungguhnya. Balik spt Jobstreet. Tolong diperbaiki kreteria pemuat kerja. Cuma membandingkan kapasitas atau mencari pelamar yg sesungguhnya,0,tidak tidak responsif muat iklan lowong banding kapasitas lamar merecrut lamar sungguh jobstreet tolong baik kreteria muat kerja banding kapasitas cari lamar sungguh
20,bagus,2,bagus
21,"Aplikasi aneh, ada notif masuk tapi gak bisa masuk aplikasi dengan alasan kami tidak dapat melayani.",0,aplikasi aneh pemberitahuan masuk tidak masuk aplikasi alas tidak layan
22,mohon selalanapde informasi terbaru mengenai lowongan kerja,1,mohon selalanapde informasi baru lowong kerja
23,"Banyak yg suka ghosting, HRD nya juga banyak yg g buka chat lamaran sampai lowongan kerja ditutup",0,suka ghosting hrd nya tidak buka chat lamar lowong kerja tutup
24,semoga ada rezeki ku kak,1,moga rezeki ku kak
