userName,score,at,label,content
Nanda Mmhmarsel,5,10/7/2024 5:41,positif,baik
Zhen Zen,2,10/7/2024 4:41,negatif,Kurang lengkap masalah info loker
Rachmad Rudianto,5,10/7/2024 2:10,positif,memuaskan
Bang zait,5,10/7/2024 1:39,positif,sangat mudah untuk mengirim email/ cv
Alan Walansari,5,10/6/2024 16:46,netral,"Semoga cepet² dapet pekerjaan,, aminnnn"
Intan Permata Legum,5,10/6/2024 8:29,positif,mantap
heri setiawan,1,10/6/2024 7:57,negatif,jujurly saya ga ngerti cara pakainya. Dari tampilan interface yg membingungkan dan fitur search and filter yg sama sekali ga membantu. Dan btw kalo temen temen detail disini banyak sekali PT penipuannya. xixi
Zhurufy Rahmany,5,10/6/2024 7:26,netral,Semoga ada rezeki disini
Iwan Hermawan,5,10/6/2024 4:21,positif,Mantap
Lusi Sundari,5,10/6/2024 1:52,positif,bagus
Agoes 21,5,10/5/2024 13:36,positif,Bagus
ayu puspita rizmi,1,10/5/2024 13:07,negatif,banyak loker penipu
Wiwy Triwiyanti,4,10/5/2024 12:41,negatif,belum jelas karena belum dapat panggilan krja
RATEG BAJIGUR,4,10/5/2024 5:25,positif,Lumayan bagus...jika data diri dan skill kita meyakinkan Perusahaan yang kita lamar pasti akan di respon oleh HRD
Arham Redminot10S,5,10/5/2024 5:07,positif,ok
Nur Puri,5,10/5/2024 2:39,positif,sangat membantu
Luki Novaldi,5,10/4/2024 12:22,positif,semoga semakin mudah & banyak lowongannya yah Glints👍
untuk bias15,1,10/4/2024 7:48,positif,Aplikasi nya bagus kak
Junari Aprilian,5,10/4/2024 5:42,positif,dapat mobil gajian
AKHMAD FARUQ,1,10/4/2024 4:50,negatif,Ngga spt 2023 sekarang mulai tdk responsif. Pemuat iklan lowongan cuma membandingkan kapasitas pelamar bukan merecrut pelamar sesungguhnya. Balik spt Jobstreet. Tolong diperbaiki kreteria pemuat kerja. Cuma membandingkan kapasitas atau mencari pelamar yg sesungguhnya
Kg Jaya,5,10/4/2024 2:17,positif,bagus
